kepid,kepoi_name,kepler_name,ra,dec
10797460,K00752.01,Kepler-227 b,291.93423,48.141651
10797460,K00752.02,Kepler-227 c,291.93423,48.141651
10811496,K00753.01,,297.00482,48.134129
10848459,K00754.01,,285.53461,48.28521
10854555,K00755.01,Kepler-664 b,288.75488,48.2262
10872983,K00756.01,Kepler-228 d,296.28613,48.22467
10872983,K00756.02,Kepler-228 c,296.28613,48.22467
10872983,K00756.03,Kepler-228 b,296.28613,48.22467
6721123,K00114.01,,298.86435,42.151569
10910878,K00757.01,Kepler-229 c,286.99948,48.37579
11446443,K00001.01,Kepler-1 b,286.80847,49.316399
10666592,K00002.01,Kepler-2 b,292.24728,47.969521
6922244,K00010.01,Kepler-8 b,281.28812,42.45108
10984090,K00112.02,Kepler-466 c,295.64871,48.49556
10419211,K00742.01,,297.07993,47.597401
10464078,K00743.01,,289.25821,47.635319
10480982,K00744.01,,295.81454,47.69035
10485250,K00745.01,,297.15442,47.668701
10526549,K00746.01,Kepler-660 b,288.13824,47.724449
10583066,K00747.01,Kepler-661 b,283.71088,47.86327
10583180,K00748.01,,283.76547,47.804298
10601284,K00749.01,Kepler-226 c,292.37613,47.880989
10601284,K00749.02,Kepler-226 b,292.37613,47.880989
10601284,K00749.03,Kepler-226 d,292.37613,47.880989
2306756,K00113.01,,292.27374,37.671558
10662202,K00750.01,Kepler-662 b,290.46512,47.92918
10682541,K00751.01,Kepler-663 b,297.80826,47.946671
11460018,K00769.01,Kepler-671 b,294.26581,49.314091
11463211,K00770.01,,295.66522,49.351009
11465813,K00771.01,,296.69861,49.316479
11493732,K00772.01,,283.72592,49.479519
11507101,K00773.01,Kepler-672 b,291.72202,49.480869
10910878,K00757.02,Kepler-229 d,286.99948,48.37579
10910878,K00757.03,Kepler-229 b,286.99948,48.37579
10987985,K00758.01,Kepler-665 b,297.02563,48.478588
11018648,K00759.01,Kepler-230 b,285.71854,48.505859
11018648,K00759.02,Kepler-230 c,285.71854,48.505859
11138155,K00760.01,Kepler-1976 b,292.16705,48.727589
11152159,K00761.01,,297.92365,48.777321
11153539,K00762.01,Kepler-666 b,298.45685,48.791592
11242721,K00763.01,,291.0939,48.933842
9579641,K00115.01,Kepler-105 b,287.88733,46.276241
11304958,K00764.01,Kepler-667 b,295.55505,49.017342
11391957,K00765.01,Kepler-668 b,285.49924,49.277351
11403044,K00766.01,Kepler-669 b,291.93616,49.253979
11414511,K00767.01,Kepler-670 b,297.01547,49.225288
11442465,K00768.01,,284.17233,49.360722
12110942,K00786.01,Kepler-680 b,291.62241,50.61824
12366084,K00787.01,Kepler-232 b,295.81616,51.121738
12366084,K00787.02,Kepler-232 c,295.81616,51.121738
12404086,K00788.01,Kepler-681 b,289.39972,51.25032
8395660,K00116.01,Kepler-106 c,300.86398,44.337551
9579641,K00115.02,Kepler-105 c,287.88733,46.276241
11656840,K00774.01,,288.98682,49.733742
11754553,K00775.01,Kepler-52 c,286.73804,49.97575
11754553,K00775.02,Kepler-52 b,286.73804,49.97575
11754553,K00775.03,Kepler-52 d,286.73804,49.97575
11812062,K00776.01,Kepler-673 b,290.78574,50.054119
11818800,K00777.01,,294.31686,50.080231
11853255,K00778.01,Kepler-674 b,285.17621,50.149818
11909839,K00779.01,,289.23553,50.241001
11918099,K00780.01,Kepler-675 b,293.83331,50.23035
11918099,K00780.02,,293.83331,50.23035
9579641,K00115.03,,287.88733,46.276241
11923270,K00781.01,Kepler-676 b,296.22195,50.28722
11960862,K00782.01,Kepler-677 b,290.09805,50.321609
12020329,K00783.01,Kepler-678 b,295.45529,50.49456
12066335,K00784.01,Kepler-231 c,293.97336,50.53191
12066335,K00784.02,Kepler-231 b,293.97336,50.53191
12070811,K00785.01,Kepler-679 b,296.02133,50.56778
8395660,K00116.02,Kepler-106 e,300.86398,44.337551
3120431,K00798.01,,292.31595,38.27029
3246984,K00799.01,,294.36819,38.31028
3342970,K00800.01,Kepler-234 b,291.65353,38.494659
3342970,K00800.02,Kepler-234 c,291.65353,38.494659
12459725,K00789.01,,291.0448,51.321671
12470844,K00790.01,Kepler-233 b,296.36652,51.319519
12470844,K00790.02,Kepler-233 c,296.36652,51.319519
12644822,K00791.01,Kepler-682 b,289.11221,51.737381
2440757,K00792.01,,290.84369,37.728828
2445129,K00793.01,,291.84891,37.713501
2713049,K00794.01,Kepler-683 b,291.43997,37.905659
3114167,K00795.01,Kepler-684 b,290.87051,38.273628
3114661,K00796.01,,290.99689,38.28492
3115833,K00797.01,,291.28195,38.241669
4139816,K00812.02,Kepler-235 d,286.07913,39.27832
4139816,K00812.03,Kepler-235 e,286.07913,39.27832
8395660,K00116.04,Kepler-106 d,300.86398,44.337551
4139816,K00812.04,Kepler-235 c,286.07913,39.27832
4275191,K00813.01,Kepler-688 b,294.65524,39.308361
4476123,K00814.01,Kepler-689 b,294.71063,39.52174
3351888,K00801.01,Kepler-685 b,293.87192,38.422939
3453214,K00802.01,,293.81619,38.563568
3554600,K00803.01,,293.94116,38.601101
3641726,K00804.01,Kepler-1727 b,290.33362,38.72823
3734868,K00805.01,,287.69675,38.886452
3832474,K00806.01,Kepler-30 d,285.28363,38.947281
8395660,K00116.03,Kepler-106 b,300.86398,44.337551
3832474,K00806.02,Kepler-30 c,285.28363,38.947281
3832474,K00806.03,Kepler-30 b,285.28363,38.947281
3836375,K00807.01,,286.92639,38.921631
3838486,K00808.01,,287.74881,38.92955
3935914,K00809.01,Kepler-686 b,285.21381,39.027481
3940418,K00810.01,Kepler-1728 b,287.09399,39.060719
4049131,K00811.01,Kepler-687 b,289.31543,39.153278
4139816,K00812.01,Kepler-235 b,286.07913,39.27832
5287983,K00828.01,,295.37805,40.493401
5358241,K00829.01,Kepler-53 b,290.46176,40.562462
10875245,K00117.02,Kepler-107 c,297.02826,48.208611
5358241,K00829.02,Kepler-53 d,290.46176,40.562462
5358241,K00829.03,Kepler-53 c,290.46176,40.562462
5358624,K00830.01,Kepler-428 b,290.58173,40.5774
4544670,K00815.01,,285.92001,39.624828
4664847,K00816.01,Kepler-690 b,294.4899,39.771439
4725681,K00817.01,Kepler-236 c,283.86639,39.898079
4725681,K00817.02,Kepler-236 b,283.86639,39.898079
4913852,K00818.01,Kepler-691 b,288.81201,40.033401
4932348,K00819.01,,294.14789,40.055538
4936180,K00820.01,,295.11371,40.071171
11913073,K00011.01,,291.06152,50.265129
10875245,K00117.01,Kepler-107 e,297.02826,48.208611
5021899,K00821.01,Kepler-692 b,294.77686,40.15374
5077629,K00822.01,,283.53845,40.217999
5115978,K00823.01,,296.00699,40.295429
5164255,K00824.01,Kepler-693 b,283.25354,40.358189
5252423,K00825.01,Kepler-237 c,283.22141,40.421829
5252423,K00825.02,Kepler-237 b,283.22141,40.421829
5272878,K00826.01,Kepler-694 b,291.14951,40.420521
5283542,K00827.01,,294.22397,40.417858
5649215,K00839.01,,298.96112,40.862808
5651104,K00840.01,Kepler-695 b,299.3161,40.82238
5792202,K00841.01,Kepler-27 b,292.23676,41.08588
10875245,K00117.04,Kepler-107 d,297.02826,48.208611
5792202,K00841.02,Kepler-27 c,292.23676,41.08588
5370302,K00831.01,,294.05676,40.549679
5372966,K00832.01,,294.74396,40.53392
5376067,K00833.01,,295.50439,40.505489
5436502,K00834.01,Kepler-238 e,287.89713,40.637821
5436502,K00834.02,Kepler-238 d,287.89713,40.637821
5436502,K00834.03,Kepler-238 c,287.89713,40.637821
5436502,K00834.04,Kepler-238 b,287.89713,40.637821
10875245,K00117.03,Kepler-107 b,297.02826,48.208611
5436502,K00834.05,Kepler-238 f,287.89713,40.637821
5456651,K00835.01,Kepler-239 b,294.20215,40.66341
5456651,K00835.02,Kepler-239 c,294.20215,40.66341
5481416,K00836.01,,299.64285,40.691238
5531576,K00837.01,Kepler-240 c,291.15878,40.750271
5531576,K00837.02,Kepler-240 b,291.15878,40.750271
5534814,K00838.01,,292.21436,40.759762
6291653,K00850.01,Kepler-702 b,293.87811,41.66177
6392727,K00851.01,Kepler-703 b,299.18686,41.74268
6422070,K00852.01,Kepler-704 b,283.31638,41.83712
6428700,K00853.01,Kepler-242 b,286.5657,41.808399
6428700,K00853.02,Kepler-242 c,286.5657,41.808399
5792202,K00841.03,Kepler-27 d,292.23676,41.08588
5794379,K00842.01,Kepler-241 b,292.91312,41.060921
5794379,K00842.02,Kepler-241 c,292.91312,41.060921
5881688,K00843.01,Kepler-696 b,293.49661,41.137589
6022556,K00844.01,Kepler-697 b,283.86441,41.346458
6032497,K00845.01,Kepler-698 b,288.51001,41.301769
6061119,K00846.01,Kepler-699 b,296.88821,41.396091
6191521,K00847.01,Kepler-700 b,287.1543,41.565788
6267425,K00848.01,,284.86929,41.679192
3531558,K00118.01,Kepler-467 b,287.36279,38.649601
6276477,K00849.01,Kepler-701 b,288.9942,41.633282
6863998,K00867.01,Kepler-709 b,292.10519,42.380322
6867155,K00868.01,,293.00797,42.307201
6948054,K00869.01,Kepler-245 b,291.63898,42.436321
6948054,K00869.02,Kepler-245 d,291.63898,42.436321
6948054,K00869.03,Kepler-245 c,291.63898,42.436321
