hostname,host_ra,host_dec,sy_dist
Kepler-27,292.2367608,41.085871,1044.36
Kepler-633,295.2173259,40.5921599,680.54
Kepler-1063,290.5267975,38.1428283,343.226
Kepler-636,293.5920614,41.0950891,310.301
Kepler-27,292.2367608,41.085871,1044.36
Kepler-1079,299.5495794,45.7696769,591.098
Kepler-1031,296.0898796,48.9554121,682.882
Kepler-636,293.5920614,41.0950891,310.301
Kepler-1079,299.5495794,45.7696769,591.098
Kepler-1063,290.5267975,38.1428283,343.226
KMT-2017-BLG-2197L,262.611333333,-30.159311111,7800.0
KMT-2017-BLG-2197L,262.611333333,-30.159311111,7800.0
KMT-2022-BLG-1790L,271.05625,-27.03475,6480.0
KMT-2022-BLG-2076L,268.051125,-29.027930556,5570.0
KMT-2022-BLG-2076L,268.051125,-29.027930556,5570.0
KMT-2023-BLG-2209L,268.994208333,-29.305669444,5570.0
Kepler-1063,290.5267975,38.1428283,343.226
Kepler-365,295.626564,49.130411,1038.99
Kepler-1063,290.5267975,38.1428283,343.226
Kepler-365,295.626564,49.130411,1038.99
Kepler-365,295.626564,49.130411,1038.99
Kepler-1031,296.0898796,48.9554121,682.882
Kepler-633,295.2173259,40.5921599,680.54
KOI-984,291.0489438,36.8400772,252.667
Kepler-365,295.626564,49.130411,1038.99
Kepler-1031,296.0898796,48.9554121,682.882
Kepler-633,295.2173259,40.5921599,680.54
Kepler-1031,296.0898796,48.9554121,682.882
Kepler-365,295.626564,49.130411,1038.99
Kepler-636,293.5920614,41.0950891,310.301
Kepler-636,293.5920614,41.0950891,310.301
KOI-984,291.0489438,36.8400772,252.667
Kepler-636,293.5920614,41.0950891,310.301
Kepler-938,294.7890593,46.9839352,1182.05
Kepler-365,295.626564,49.130411,1038.99
Kepler-636,293.5920614,41.0950891,310.301
Kepler-365,295.626564,49.130411,1038.99
Kepler-365,295.626564,49.130411,1038.99
Kepler-938,294.7890593,46.9839352,1182.05
Kepler-938,294.7890593,46.9839352,1182.05
Kepler-210,292.5034196,43.0832188,232.75
Kepler-678,295.4552577,50.4945093,1826.15
Kepler-307,297.7950939,40.4176403,575.581
KOI-984,291.0489438,36.8400772,252.667
Kepler-1079,299.5495794,45.7696769,591.098
Kepler-633,295.2173259,40.5921599,680.54
Kepler-633,295.2173259,40.5921599,680.54
Kepler-231,293.9733913,50.531846,316.618
Kepler-633,295.2173259,40.5921599,680.54
Kepler-1031,296.0898796,48.9554121,682.882
Kepler-633,295.2173259,40.5921599,680.54
KOI-984,291.0489438,36.8400772,252.667
Kepler-633,295.2173259,40.5921599,680.54
HIP 81208 B,248.8075,-35.724758333,147.533
Kepler-1079,299.5495794,45.7696769,591.098
Kepler-636,293.5920614,41.0950891,310.301
Kepler-1079,299.5495794,45.7696769,591.098
Kepler-365,295.626564,49.130411,1038.99
Kepler-636,293.5920614,41.0950891,310.301
Kepler-1063,290.5267975,38.1428283,343.226
Kepler-1031,296.0898796,48.9554121,682.882
Kepler-365,295.626564,49.130411,1038.99
Kepler-633,295.2173259,40.5921599,680.54
Kepler-633,295.2173259,40.5921599,680.54
Kepler-636,293.5920614,41.0950891,310.301
Kepler-365,295.626564,49.130411,1038.99
Kepler-1031,296.0898796,48.9554121,682.882
Kepler-1031,296.0898796,48.9554121,682.882
Kepler-365,295.626564,49.130411,1038.99
Kepler-1031,296.0898796,48.9554121,682.882
Kepler-636,293.5920614,41.0950891,310.301
Kepler-365,295.626564,49.130411,1038.99
Kepler-1001,286.2739151,48.6186972,928.978
Kepler-633,295.2173259,40.5921599,680.54
Kepler-1031,296.0898796,48.9554121,682.882
Kepler-365,295.626564,49.130411,1038.99
Kepler-365,295.626564,49.130411,1038.99
Kepler-1063,290.5267975,38.1428283,343.226
Kepler-938,294.7890593,46.9839352,1182.05
Kepler-365,295.626564,49.130411,1038.99
KOI-984,291.0489438,36.8400772,252.667
Kepler-365,295.626564,49.130411,1038.99
Kepler-636,293.5920614,41.0950891,310.301
Kepler-633,295.2173259,40.5921599,680.54
KOI-984,291.0489438,36.8400772,252.667
Kepler-633,295.2173259,40.5921599,680.54
Kepler-1079,299.5495794,45.7696769,591.098
Kepler-636,293.5920614,41.0950891,310.301
Kepler-1031,296.0898796,48.9554121,682.882
Kepler-365,295.626564,49.130411,1038.99
Kepler-1063,290.5267975,38.1428283,343.226
Kepler-1031,296.0898796,48.9554121,682.882
KOI-984,291.0489438,36.8400772,252.667
Kepler-938,294.7890593,46.9839352,1182.05
Kepler-938,294.7890593,46.9839352,1182.05
Kepler-1063,290.5267975,38.1428283,343.226
Kepler-938,294.7890593,46.9839352,1182.05
